tau,phi_data,phi_sim
0.0,0.6028238917084621,0.6028238917084621
0.001001001001001001,0.597337055164298,0.5915361175163425
0.002002002002002002,0.5918502186201341,0.5804597049719231
0.003003003003003003,0.58636338207597,0.5695906963639381
0.004004004004004004,0.5808765455318061,0.558925208088623
0.005005005005005005,0.5753897089876421,0.5484594292620625
0.006006006006006006,0.5699028724434781,0.5381896203585215
0.007007007007007007,0.5644160358993141,0.528112111874274
0.008008008008008008,0.5589291993551502,0.5182233030164513
0.009009009009009009,0.5534423628109861,0.5085196604164409
0.01001001001001001,0.5479555262668222,0.498997716867378
0.011011011011011011,0.5424686897226582,0.489654070085276
0.012012012012012012,0.5369818531784942,0.48048538149335596
0.013013013013013013,0.5314950166343302,0.47148837502913843
0.014014014014014014,0.5260081800901663,0.4626598359738727
0.015015015015015015,0.5205213435460022,0.45399660980388523
0.016016016016016016,0.5150345070018383,0.4454956010634355
0.017017017017017015,0.5095476704576742,0.43715377225867846
0.018018018018018018,0.5040608339135103,0.42896814277233697
0.01901901901901902,0.49857399736934627,0.42093578779869684
0.02002002002002002,0.4930871608251823,0.41305383729854395
0.02102102102102102,0.4876003242810183,0.40531947497367027
0.022022022022022022,0.4821134877368543,0.39772993726058187
0.023023023023023025,0.4766266511926903,0.3902825123430497
0.024024024024024024,0.47113981464852633,0.3829745391831504
0.025025025025025023,0.46565297810436235,0.3758034065704502
0.026026026026026026,0.46016614156019836,0.3687665521889936
0.02702702702702703,0.4546793050160344,0.3618614617017618
0.028028028028028028,0.4491924684718704,0.35508566785227474
0.029029029029029027,0.4437056319277064,0.3484367495830157
0.03003003003003003,0.4382187953835424,0.34191233117036307
0.031031031031031032,0.43273195883937843,0.3355100813757206
0.03203203203203203,0.4272451222952144,0.32922771261254224
0.03303303303303303,0.42175828575105045,0.3230629801289549
0.03403403403403403,0.41627144920688647,0.3170136812056859
0.035035035035035036,0.4107846126627225,0.3110776543690094
0.036036036036036036,0.40529777611855844,0.3052527786184305
0.037037037037037035,0.3998109395743945,0.29953697266883017
0.03803803803803804,0.39432410303023047,0.2939281942068018
0.03903903903903904,0.3888372664860665,0.28842443916091187
0.04004004004004004,0.3833504299419025,0.28302374098562566
0.04104104104104104,0.37786359339773856,0.2777241699586407
0.04204204204204204,0.3723767568535745,0.27252383249137785
0.043043043043043044,0.3668899203094106,0.26742087045238344
0.044044044044044044,0.36140308376524655,0.26241346050340025
0.04504504504504504,0.35591624722108256,0.2574998134478708
0.04604604604604605,0.3504294106769186,0.25267817359163974
0.04704704704704705,0.3449425741327546,0.24794681811562674
0.04804804804804805,0.3394557375885906,0.2433040564602463
0.04904904904904905,0.33396890104442667,0.2387482297213541
0.050050050050050046,0.3284820645002627,0.23427771005750397
0.05105105105105105,0.32299522795609864,0.2298909001083043
0.05205205205205205,0.31750839141193465,0.22558623242366513
0.05305305305305305,0.31202155486777067,0.22136216890373292
0.05405405405405406,0.3065347183236066,0.21721720024931218
0.055055055055055056,0.3010478817794427,0.21314984542257806
0.056056056056056056,0.2955610452352787,0.20915865111788684
0.057057057057057055,0.2900742086911147,0.20524219124249551
0.058058058058058054,0.28458737214695073,0.20139906640700483
0.05905905905905906,0.2791005356027867,0.1976279034253436
0.06006006006006006,0.27361369905862276,0.1939273548241158
0.06106106106106106,0.2681268625144588,0.19029609836113512
0.062062062062062065,0.26264002597029473,0.18673283655297473
0.06306306306306306,0.2571531894261308,0.18323629621136375
0.06406406406406406,0.25166635288196676,0.17980522798826445
0.06506506506506507,0.24617951633780277,0.176438405929468
0.06606606606606606,0.24069267979363884,0.17313462703654894
0.06706706706706707,0.2352058432494748,0.16989271083702204
0.06806806806806806,0.22971900670531087,0.16671149896254778
0.06906906906906907,0.22423217016114683,0.16358985473503612
0.07007007007007007,0.21874533361698284,0.1605266627605001
0.07107107107107107,0.2132584970728189,0.15752082853051463
0.07207207207207207,0.20777166052865487,0.15457127803113804
0.07307307307307308,0.20228482398449082,0.15167695735915612
0.07407407407407407,0.1967979874403269,0.14883683234551234
0.07507507507507508,0.1913111508961629,0.14604988818578898
0.07607607607607608,0.18582431435199892,0.14331512907760763
0.07707707707707707,0.18033747780783493,0.14063157786481917
0.07807807807807808,0.1748506412636709,0.13799827568835632
0.07907907907907907,0.16936380471950696,0.1354142816436239
0.08008008008008008,0.16387696817534297,0.1328786724443044
0.08108108108108109,0.158390131631179,0.13039054209245865
0.08208208208208208,0.152903295087015,0.127949001554804
0.08308308308308308,0.14741645854285096,0.12555317844505384
0.08408408408408408,0.14192962199868703,0.12320221671220566
0.08508508508508508,0.13644278545452304,0.12089527633466542
0.08608608608608609,0.13095594891035905,0.11863153302009972
0.08708708708708708,0.12546911236619507,0.11641017791090807
0.08808808808808809,0.11998227582203103,0.11423041729521011
0.0890890890890891,0.11449543927786704,0.11209147232324457
0.09009009009009009,0.10900860273370305,0.10999257872907867
0.09109109109109109,0.10394931189427917,0.1079329865575284
0.0920920920920921,0.10081397672618544,0.10591195989619216
0.09309309309309309,0.09767864155809178,0.10392877661250212
0.0940940940940941,0.09454330638999804,0.1019827280956991
0.09509509509509509,0.09140797122190437,0.10007311900363906
0.0960960960960961,0.08827263605381064,0.09819926701434058
0.0970970970970971,0.0851373008857169,0.09636050258218443
0.0980980980980981,0.08200196571762323,0.09455616869867847
0.0990990990990991,0.0788666305495295,0.09278562065770207
0.10010010010010009,0.07573129538143583,0.09104822582514624
0.1011011011011011,0.07259596021334211,0.08934336341286735
0.1021021021021021,0.06946062504524837,0.0876704242568734
